Entry	Gene Names	Function [CC]	Catalytic activity	EC number	gene_name	PubMed_IDs	Merged_Functions	Curated_Functions	Is_Metabolic	GO_MF	GO_BP	MetaCyc_Comment	MetaCyc_Less_Complete
A5A616	mgtS yneM b4599 JW1527.1	FUNCTION: Modulates intracellular Mg(2+) levels to maintain cellular integrity upon Mg(2+) limitation. Acts by binding and stabilizing the Mg(2+) transporter MgtA, thereby leading to increased intracellular level of Mg(2+). May inhibit FtsH proteolysis of MgtA. {ECO:0000269|PubMed:28512220}.			mgtS yneM b4599 JW1527.1								skip
O32583	thiS thiG1 b4407 JW3955	FUNCTION: Is the sulfur donor in the synthesis of the thiazole phosphate moiety of thiamine phosphate. {ECO:0000269|PubMed:9632726}.			thiS thiG1 b4407 JW3955								skip
P00350	gnd b2029 JW2011	FUNCTION: Catalyzes the oxidative decarboxylation of 6-phosphogluconate to ribulose 5-phosphate and CO(2), with concomitant reduction of NADP to NADPH. {ECO:0000269|PubMed:19686854}.	CATALYTIC ACTIVITY: Reaction=6-phospho-D-gluconate + NADP(+) = D-ribulose 5-phosphate + CO2 + NADPH; Xref=Rhea:RHEA:10116, ChEBI:CHEBI:16526, ChEBI:CHEBI:57783, ChEBI:CHEBI:58121, ChEBI:CHEBI:58349, ChEBI:CHEBI:58759; EC=1.1.1.44; Evidence={ECO:0000269|PubMed:19686854};	1.1.1.44	gnd b2029 JW2011							"6-phosphogluconate dehydrogenase is an enzyme of the oxidative branch of the pentose phosphate pathway. Three crystal structures of the enzyme in complex with substrate and cosubstrate compounds have been solved. Binding of NADP+ may induce a conformational change in the enzyme. A catalytic mechanism has been proposed |CITS: |. gnd is a highly polymorphic gene within E. coli populations, likely due to interstrain transfer and recombination. This may be a result of its proximity to the rfb region, which determines O antigen structure |CITS: |. Expression of 6-phosphogluconate dehydrogenase is growth rate-regulated |CITS: |. Most of the growth rate-dependent increase in Gnd levels is due to increased transcription, leading to higher mRNA levels |CITS: |. Posttranscriptional regulation |CITS: | involves a secondary structure element between codons 67 and 78 of the gnd mRNA |CITS: |. This region may function by sequestration of the translation initiation region into an mRNA secondary structure, thus reducing the efficiency of translation initiation |CITS: |. However, the effector of this regulatory mechanism has apparently not yet been identified. truA (hisT) mutants reduce the growth rate-dependent increase of Gnd expression by post-transcriptional regulation |CITS: |. Growth under acidic conditions upregulates expression of gnd |CITS: |. gnd is one of the most consistently flux-coupled genes (FCGs), which are genes whose expression transition patterns upon perturbations are correlated with their corresponding flux values |CITS: |. Certain growth conditions selected for a deletion mutation in the promoter region that results in increased transcription of gnd and increased enzyme activity |CITS: |. An edd gnd double mutant is unable to grow on gluconate |CITS: |. A null mutation in gnd does not significantly alter the growth rate. However, cellular metabolism and metabolic flux is changed |CITS: |; succinate production is increased during growth on glucose or glycerol |CITS: |. A gnd deletion mutant shows enhanced ethanol and H2 production compared to wild type during anaerobic growth on glycerol |CITS: |, whereas in a different, heavily engineered strain, overexpression of gnd increases ethanol and H2 production |CITS: |. Stasis-induced carbonylation of 6-phosphogluconate dehydrogenase is increased in lon and hslVU mutants |CITS: |. Gnd: ""gluconate-6-phosphate dehydrogenase"" |CITS: | Reviews: |CITS: |"	skip
P00363	frdA b4154 JW4115	FUNCTION: Two distinct, membrane-bound, FAD-containing enzymes are responsible for the catalysis of fumarate and succinate interconversion; fumarate reductase is used during anaerobic growth, and succinate dehydrogenase is used during aerobic growth. The QFR enzyme complex binds 2 quinones in or near the membrane; 1 near the [3Fe-4S] cluster (QP is proximal to the [3Fe-4S] cluster, on the cytoplasmic side of the membrane) while QD (the distal cluster) is on the other side of the membrane. It is not clear if both of the quinol-binding sites are functionally relevant (PubMed:10373108, PubMed:11850430). {ECO:0000269|PubMed:10373108, ECO:0000269|PubMed:11850430, ECO:0000269|PubMed:24374335}.	CATALYTIC ACTIVITY: Reaction=a quinone + succinate = fumarate + a quinol; Xref=Rhea:RHEA:40523, ChEBI:CHEBI:24646, ChEBI:CHEBI:29806, ChEBI:CHEBI:30031, ChEBI:CHEBI:132124; EC=1.3.5.1; Evidence={ECO:0000269|PubMed:11850430}; CATALYTIC ACTIVITY: Reaction=a menaquinone + succinate = a menaquinol + fumarate; Xref=Rhea:RHEA:27834, Rhea:RHEA-COMP:9537, Rhea:RHEA-COMP:9539, ChEBI:CHEBI:16374, ChEBI:CHEBI:18151, ChEBI:CHEBI:29806, ChEBI:CHEBI:30031; EC=1.3.5.1; Evidence={ECO:0000305|PubMed:10373108};	1.3.5.1	frdA b4154 JW4115							FrdA is one of two catalytic subunits in the four subunit fumarate reductase complex. This subunit contains the FAD cofactor |CITS: |. This protein has similarity to the SdhA subunit of succinate dehydrogenase |CITS: |. A 2.2 Å crystal structure of L-aspartate oxidase suggests that an unusual tertiary structure is shared by L-aspartate oxidase, the SdhA subunit of succinate dehydrogenase, and the FrdA subunit of fumarate reductase |CITS: |. FrdA interacts directly with the FliG subunit of the flagellar motor; subunit binding probably occurs within the context of an intact fumarate reductase complex; FrdA preferentially binds to the clockwise state of FliG and enhances clockwise rotation likely by stabilising the motor's clockwise state |CITS: |.	skip
P00370	gdhA b1761 JW1750	FUNCTION: Catalyzes the reversible oxidative deamination of glutamate to alpha-ketoglutarate and ammonia. {ECO:0000269|PubMed:235298, ECO:0000269|PubMed:241744}.	CATALYTIC ACTIVITY: Reaction=L-glutamate + NADP(+) + H2O = 2-oxoglutarate + NH4(+) + NADPH + H(+); Xref=Rhea:RHEA:11612, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:16810, ChEBI:CHEBI:28938, ChEBI:CHEBI:29985, ChEBI:CHEBI:57783, ChEBI:CHEBI:58349; EC=1.4.1.4; Evidence={ECO:0000269|PubMed:235298, ECO:0000269|PubMed:241744};	1.4.1.4	gdhA b1761 JW1750								skip
P00393	ndh b1109 JW1095	FUNCTION: Alternative, nonproton pumping NADH:quinone oxidoreductase that delivers electrons to the respiratory chain by oxidation of NADH and reduction of quinones (PubMed:10664466, PubMed:2679883, PubMed:3122832, PubMed:6362717, PubMed:6784762, PubMed:7009604, PubMed:7020757). Utilizes NADH exclusively, and electron flow from NADH to ubiquinone does not generate an electrochemical gradient (PubMed:2679883, PubMed:3122832). {ECO:0000269|PubMed:10664466, ECO:0000269|PubMed:2679883, ECO:0000269|PubMed:3122832, ECO:0000269|PubMed:6362717, ECO:0000269|PubMed:6784762, ECO:0000269|PubMed:7009604, ECO:0000269|PubMed:7020757}.; FUNCTION: It may also contribute to copper homeostasis and bacterial oxidative protection (PubMed:10510271, PubMed:16759635, PubMed:21390523, PubMed:7487066). Shows cupric reductase activity, and catalyzes the reduction of Cu(2+) to Cu(+) with NADH as electron donor (PubMed:10510271). Exhibits Cu(2+) reductase activity in the presence of either FAD or quinone, but is unable to reduce Fe(3+) (PubMed:10510271). Contains thiolate-bound copper (PubMed:12176061). {ECO:0000269|PubMed:10510271, ECO:0000269|PubMed:12176061, ECO:0000269|PubMed:16759635, ECO:0000269|PubMed:21390523, ECO:0000269|PubMed:7487066}.	CATALYTIC ACTIVITY: Reaction=a quinone + NADH + H(+) = a quinol + NAD(+); Xref=Rhea:RHEA:46160, ChEBI:CHEBI:15378, ChEBI:CHEBI:24646, ChEBI:CHEBI:57540, ChEBI:CHEBI:57945, ChEBI:CHEBI:132124; EC=1.6.5.9; Evidence={ECO:0000269|PubMed:10664466, ECO:0000269|PubMed:2679883, ECO:0000269|PubMed:6362717, ECO:0000269|PubMed:6784762, ECO:0000269|PubMed:7009604, ECO:0000269|PubMed:7020757}; CATALYTIC ACTIVITY: Reaction=a ubiquinone + NADH + H(+) = a ubiquinol + NAD(+); Xref=Rhea:RHEA:23152, Rhea:RHEA-COMP:9565, Rhea:RHEA-COMP:9566, ChEBI:CHEBI:15378, ChEBI:CHEBI:16389, ChEBI:CHEBI:17976, ChEBI:CHEBI:57540, ChEBI:CHEBI:57945; Evidence={ECO:0000269|PubMed:10664466, ECO:0000269|PubMed:2679883, ECO:0000269|PubMed:6362717, ECO:0000269|PubMed:6784762, ECO:0000269|PubMed:7009604, ECO:0000269|PubMed:7020757}; CATALYTIC ACTIVITY: Reaction=ubiquinone-8 + NADH + H(+) = ubiquinol-8 + NAD(+); Xref=Rhea:RHEA:29107, ChEBI:CHEBI:15378, ChEBI:CHEBI:57540, ChEBI:CHEBI:57945, ChEBI:CHEBI:61682, ChEBI:CHEBI:61683; Evidence={ECO:0000269|PubMed:7020757}; CATALYTIC ACTIVITY: Reaction=2 Cu(2+) + NADH = 2 Cu(+) + NAD(+) + H(+); Xref=Rhea:RHEA:66848, ChEBI:CHEBI:15378, ChEBI:CHEBI:29036, ChEBI:CHEBI:49552, ChEBI:CHEBI:57540, ChEBI:CHEBI:57945; Evidence={ECO:0000269|PubMed:10510271}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:66849; Evidence={ECO:0000269|PubMed:10510271};	1.16.1.-; 1.6.5.9	ndh b1109 JW1095							"NADH:quinone oxidoreductase II (NDH-2) is a type IIA NADH dehydrogenase that catalyzes the transfer of electrons from NADH to the quinone pool in the cytoplasmic membrane. NDH-2 is one of two distinct NADH dehydrogenases in E. coli. In contrast to |FRAME: NADH-DHI-CPLX ""NDH-1""| (encoded by the nuo genes), NDH-2 utilizes NADH exclusively, and electron flow from NADH to ubiquinone does not generate an electrochemical gradient |CITS: |. During glucose limited aerobic growth E. coli directs electron flux through both NADH dehydrogenases |CITS: |. Electron transport from NADH to oxygen is not affected in a strain lacking NDH-I but is significantly reduced in a strain lacking NDH-II; similarly nitrate respiration with NADH was only slightly affected in a strain lacking NDH-I but significantly reduced in a strain lacking NDH-II. This suggests that NDH-II is used preferentially in aerobic and nitrate respiration |CITS: |. NDH-2 is a strongly membrane-associated protein; it contains an FAD cofactor and copurifies with phospholipids |CITS: |. Phosphatidylethanolamine appears to be required for full enzymatic activity in vivo |CITS: |. The enzyme contains a thiolate-bound Cu(I) ion, and a putative copper binding site has been identified |CITS: |. Heterooligomers of NDH-1 and NDH-2 have been identified by electrophoresis and sucrose gradient centrifugation is suggestive of a supramolecular organisation in the membrane |CITS: |. NDH-2 can generate superoxide radicals and hydrogen peroxide by autooxidation of the FAD cofactor |CITS: | when the enzyme is overproduced or in the absence of quinones |CITS: |. However, under regular growth conditions, it is not the primary source of intracellular hydrogen peroxide |CITS: |. NDH-2 also has cupric reductase activity that is dependend on FAD or quinones. Under experimental conditions, the reductase activity was observed simultaneously with the dehydrogenase function linked to the respiratory chain |CITS: |. NDH-2 mutants are more sensitive to copper toxicity; NDH-2 may have a role in copper homeostasis |CITS: , |. Sequence analysis predicts that NDH-2 contains four domains: a FAD binding domain containing a conserved FAD binding motif; and NADH binding domain with a conserved NADH binding motif, a membrane anchoring domain containing two predicted transmembrane regions and a copper binding domain containing two conserved cysteine residues that may be copper ligands |CITS: |. Based on the remote similarity of NDH-2 to the SCOP family of FAD/NAD-linked reductases, a structural model of NDH-2 has been proposed |CITS: |. The originally isolated ndh mutant |CITS: | was not a single-locus mutant; it also contained a disruption of the nuo locus, encoding NDH-1 |CITS: |. Only strains containing mutations in both NADH dehydrogenases are unable to grow on mannitol as the sole source of carbon |CITS: |. Metabolic effects of an ndh null mutation alone and in combination with various other mutations have been investigated |CITS: |. ndh is subject to complex transcriptional regulation. Expression of ndh is repressed during anaerobic growth in an FNR dependent manner; expression of ndh varies during the growth cycle regulated by the transcription factors Fis and IHF |CITS: |. In an F1-ATPase-defective mutant, ndh transcription and NDH-2 activity is increased |CITS: |. Several metabolic genes, including ndh, were found upregulated in two MG1655 lysogens carrying closely related Stx2a phages O104 and PA8 |CITS: 31208335|. Ndh: ""NADH dehydrogenase"" |CITS: | Reviews: |CITS: |"	skip
P00448	sodA b3908 JW3879	FUNCTION: Destroys superoxide anion radicals which are normally produced within the cells and which are toxic to biological systems.	CATALYTIC ACTIVITY: Reaction=2 superoxide + 2 H(+) = H2O2 + O2; Xref=Rhea:RHEA:20696, ChEBI:CHEBI:15378, ChEBI:CHEBI:15379, ChEBI:CHEBI:16240, ChEBI:CHEBI:18421; EC=1.15.1.1;	1.15.1.1	sodA b3908 JW3879							SodA, or MnSOD, is one of three superoxide dismutases in E. coli |CITS: |. The three enzymes differ in their metal cofactor requirement; MnSOD contains manganese. Superoxide dismutase is implicated in the response to a large number of environmental changes that lead to the generation of superoxide radicals. MnSOD and the iron-containing enzyme |FRAME: SUPEROX-DISMUTFE-MONOMER FeSOD| (SodB) are not functionally equivalent; MnSOD is more effective than FeSOD in preventing damage to DNA, while FeSOD seems more effective in protecting a cytoplasmic superoxide-sensitive enzyme |CITS: |. However, both enzymes were shown to protect dihydroxy acid dehydratase from inactivation by oxidative stress |CITS: |. MnSOD binds DNA non-specifically |CITS: | with a Ka of 3 x 105 M-1 |CITS: |. The superoxide dismutases contribute to reducing iron toxicity |CITS: |. The enzyme is highly specific for the manganese cofactor; an iron-substituted MnSOD is catalytically inactive |CITS: |, although it was recently suggested that iron-substituted MnSOD has peroxidase/catalase activity |CITS: |. The binding constant for Mn(II) is 3.2 x 108 M-1 |CITS: |, and the process of manganese acquisition has been studied |CITS: |. Metal uptake appears to be cooperative and requires dimer dissociation |CITS: |. The apo-form of a Gln146Glu mutant is much more stable than the apo-form of the wild type enzyme; conversely, the wild type, but not the mutant enzyme is stabilized by metal binding. This suggests that enzyme stability was sacrificed for enhanced metal binding ability during evolution of MnSOD |CITS: |. The Glu170 residue is essential for metal selectivity and is thought to form a hydrogen bond with His171 of the second monomer in the homodimeric enzyme |CITS: |. A Gly165Thr mutation confers some activity using Fe as the metal cofactor |CITS: |. Crystal structures of wild type and mutant apo- and MnSOD have been solved |CITS: |. The catalytic mechanism and involvement of the metal cofactor have been studied |CITS: |. Superoxide dismutase is also part of the ribonucleoside-diphosphate reductase activating system. The system is composed of three proteins, flavin reductase, superoxide dismutase and a protein fraction named fraction b whose function is poorly defined |CITS: |. MnSOD was identified as the enzyme present in the system |CITS: |, but other species of the enzyme could substitute |CITS: |. Production of MnSOD is not dependent on the SOS system |CITS: |. The complex transcriptional and post-transcriptional regulation of sodA expression has been studied in detail |CITS: |. An sodA mutant is more sensitive to paraquat than wild type |CITS: | and shows an increased mutation rate that is dependent on the presence of oxygen |CITS: |. A sodA sodB double mutant is especially sensitive to DNA damage induced by hydrogen peroxide |CITS: |. Under aerobic conditions, a sodA sodB double mutant is able to grow slowly on rich medium, but not on minimal glucose medium. The double mutant is able to grow under anaerobic conditions or by supplementing the minimal medium with a full complement of amino acids |CITS: |. The amino acid auxotrophic phenotypes can be explained by oxidative inactivation of dihydroxy acid dehydratase |CITS: | and transketolase |CITS: |. A sodA sodB double mutant is more susceptible to killing by human serum and neutrophils |CITS: |. Reviews: |CITS: |	skip
P00452	nrdA dnaF b2234 JW2228	FUNCTION: Provides the precursors necessary for DNA synthesis. Catalyzes the biosynthesis of deoxyribonucleotides from the corresponding ribonucleotides. R1 contains the binding sites for both substrates and allosteric effectors and carries out the actual reduction of the ribonucleotide. It also provides redox-active cysteines.	CATALYTIC ACTIVITY: Reaction=a 2'-deoxyribonucleoside 5'-diphosphate + [thioredoxin]-disulfide + H2O = a ribonucleoside 5'-diphosphate + [thioredoxin]-dithiol; Xref=Rhea:RHEA:23252, Rhea:RHEA-COMP:10698, Rhea:RHEA-COMP:10700, ChEBI:CHEBI:15377, ChEBI:CHEBI:29950, ChEBI:CHEBI:50058, ChEBI:CHEBI:57930, ChEBI:CHEBI:73316; EC=1.17.4.1;	1.17.4.1	nrdA dnaF b2234 JW2228								skip
P00490	malP b3417 JW5689	FUNCTION: Phosphorylase is an important allosteric enzyme in carbohydrate metabolism. Enzymes from different sources differ in their regulatory mechanisms and in their natural substrates. However, all known phosphorylases share catalytic and structural properties.	CATALYTIC ACTIVITY: Reaction=[(1->4)-alpha-D-glucosyl](n) + phosphate = [(1->4)-alpha-D-glucosyl](n-1) + alpha-D-glucose 1-phosphate; Xref=Rhea:RHEA:41732, Rhea:RHEA-COMP:9584, Rhea:RHEA-COMP:9586, ChEBI:CHEBI:15444, ChEBI:CHEBI:43474, ChEBI:CHEBI:58601; EC=2.4.1.1;	2.4.1.1	malP b3417 JW5689								skip
P00509	aspC b0928 JW0911		CATALYTIC ACTIVITY: Reaction=L-aspartate + 2-oxoglutarate = oxaloacetate + L-glutamate; Xref=Rhea:RHEA:21824, ChEBI:CHEBI:16452, ChEBI:CHEBI:16810, ChEBI:CHEBI:29985, ChEBI:CHEBI:29991; EC=2.6.1.1; Evidence={ECO:0000269|PubMed:10556573};	2.6.1.1	aspC b0928 JW0911	37024921,24670900,39042380,30662895,36346625,3521591,19180132,31989219,31063790,15983	AspC encodes an aspartate aminotransferase in E. coli that can catalyze the transamination of aromatic keto‑acid intermediates such as para‑amino‑phenylpyruvate (APP) to the corresponding amino acid (L‑para‑amino‑phenylalanine). In the engineered pathway for PAPE and 4‑APA production, AspC competes with the desired flux by diverting APP away from decarboxylation, and its deletion was shown to increase product titers. {PubMed:30662895}. The aspC gene encodes the Escherichia coli aspartate aminotransferase, a 43 kDa PLP‑dependent enzyme that catalyzes reversible transamination reactions. It transfers the amino group from glutamate (or other donors) to oxaloacetate, producing aspartate and 2‑oxoglutarate, and thus participates in the final steps of biosynthesis of aspartate, tyrosine and phenylalanine in vivo. The enzyme shows broad substrate specificity, similar to mammalian aspartate aminotransferases, and functions as a homodimer with structural features (coenzyme‑binding and substrate‑binding sites) conserved with pig mitochondrial and cytoplasmic isoenzymes. Overproduction of AspC restores growth of aminotransferase‑deficient strains and yields high aspartate aminotransferase activity in crude extracts. {PubMed:3521591}. In the article, aspC encodes the native aspartate aminotransferase (AspC) that catalyzes the transamination of oxaloacetate (OAA) with glutamate to form L‑aspartate and α‑ketoglutarate. This reaction provides the aspartate precursor for β‑alanine biosynthesis. However, the authors observed that overexpressing or adding extra copies of the native aspC did not significantly increase β‑alanine production, indicating that its catalytic activity was insufficient in the engineered strain. Consequently, they replaced aspC with the heterologous L‑aspartate dehydrogenase gene PaeAspDH to achieve a more efficient conversion of OAA to aspartate and improve β‑alanine yields. {PubMed:31989219}. AspC encodes the L‑aspartate aminotransferase, an enzyme that catalyzes the reversible transamination between oxaloacetate and L‑glutamate to form L‑aspartate and α‑ketoglutarate. In the engineered E. coli strains it was overexpressed to drive L‑aspartate production from oxaloacetate. The enzyme also exhibits broad substrate specificity, being able to use pyruvate as an amino‑group acceptor to generate L‑alanine, which was observed when oxaloacetate supply was limited. {PubMed:31063790}.	Catalyzes the reversible transamination of oxaloacetate and L‑glutamate to L‑aspartate and α‑ketoglutarate. {PubMed:3521591, PubMed:31989219, PubMed:31063790}. Exhibits broad substrate specificity, also transaminating pyruvate to L‑alanine and aromatic keto‑acids such as para‑amino‑phenylpyruvate to L‑para‑amino‑phenylalanine. {PubMed:3521591, PubMed:30662895, PubMed:31063790}. Contributes to the biosynthesis of aspartate, tyrosine and phenylalanine by providing L‑aspartate as a precursor. {PubMed:3521591}. Supplies the aspartate precursor required for β‑alanine biosynthesis. {PubMed:31989219}. Competes with engineered pathways for PAPE and 4‑APA production by diverting para‑amino‑phenylpyruvate, and its deletion enhances product titers. {PubMed:30662895}. Restores growth of aminotransferase‑deficient strains when overproduced, yielding high aspartate aminotransferase activity. {PubMed:3521591}. Functions as a homodimeric PLP‑dependent enzyme with conserved coenzyme‑ and substrate‑binding sites. {PubMed:3521591}.	Yes	catalytic activity	catalytic process; protein metabolic process		skip
